[ 2026-02-08 19:45:10,648 ] 14 root - INFO - initiate the data ingestion
[ 2026-02-08 19:45:18,627 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-02-08 19:45:18,627 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-08 19:45:18,627 ] 71 root - INFO - Exporting train and test file path
[ 2026-02-08 19:45:18,703 ] 80 root - INFO - Exported train and test file path.
[ 2026-02-08 19:45:18,703 ] 16 root - INFO - Data Ingestion completed
[ 2026-02-08 19:45:18,711 ] 19 root - INFO - Initiate the data vlidation
[ 2026-02-08 19:45:18,809 ] 31 root - INFO - Required number of columns:1
[ 2026-02-08 19:45:18,809 ] 32 root - INFO - Data frame has columns:31
[ 2026-02-08 19:45:18,809 ] 31 root - INFO - Required number of columns:1
[ 2026-02-08 19:45:18,812 ] 32 root - INFO - Data frame has columns:31
[ 2026-02-08 19:45:18,992 ] 21 root - INFO - data validation complted
[ 2026-02-08 19:45:18,993 ] 24 root - INFO - data transfomation started
[ 2026-02-08 19:45:18,993 ] 64 root - INFO - Entered initate_data_transformation methond of datatransformation class 
[ 2026-02-08 19:45:18,994 ] 66 root - INFO - starting data transformation
[ 2026-02-08 19:45:19,028 ] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2026-02-08 19:45:19,028 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
