[ 2026-02-08 19:54:51,602 ] 15 root - INFO - initiate the data ingestion
[ 2026-02-08 19:54:57,040 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-02-08 19:54:57,040 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-08 19:54:57,056 ] 71 root - INFO - Exporting train and test file path
[ 2026-02-08 19:54:57,151 ] 80 root - INFO - Exported train and test file path.
[ 2026-02-08 19:54:57,153 ] 17 root - INFO - Data Ingestion completed
[ 2026-02-08 19:54:57,162 ] 20 root - INFO - Initiate the data vlidation
[ 2026-02-08 19:54:57,289 ] 31 root - INFO - Required number of columns:1
[ 2026-02-08 19:54:57,289 ] 32 root - INFO - Data frame has columns:31
[ 2026-02-08 19:54:57,289 ] 31 root - INFO - Required number of columns:1
[ 2026-02-08 19:54:57,289 ] 32 root - INFO - Data frame has columns:31
[ 2026-02-08 19:54:57,478 ] 22 root - INFO - data validation complted
