[ 2026-02-08 19:55:18,640 ] 15 root - INFO - initiate the data ingestion
[ 2026-02-08 19:55:24,092 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-02-08 19:55:24,092 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-08 19:55:24,092 ] 71 root - INFO - Exporting train and test file path
[ 2026-02-08 19:55:24,184 ] 80 root - INFO - Exported train and test file path.
[ 2026-02-08 19:55:24,184 ] 17 root - INFO - Data Ingestion completed
[ 2026-02-08 19:55:24,184 ] 20 root - INFO - Initiate the data vlidation
[ 2026-02-08 19:55:24,297 ] 31 root - INFO - Required number of columns:1
[ 2026-02-08 19:55:24,297 ] 32 root - INFO - Data frame has columns:31
[ 2026-02-08 19:55:24,316 ] 31 root - INFO - Required number of columns:1
[ 2026-02-08 19:55:24,316 ] 32 root - INFO - Data frame has columns:31
[ 2026-02-08 19:55:24,520 ] 22 root - INFO - data validation complted
[ 2026-02-08 19:55:24,520 ] 25 root - INFO - data transfomation started
[ 2026-02-08 19:55:24,520 ] 64 root - INFO - Entered initate_data_transformation methond of datatransformation class 
[ 2026-02-08 19:55:24,520 ] 66 root - INFO - starting data transformation
[ 2026-02-08 19:55:24,563 ] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2026-02-08 19:55:24,563 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-02-08 19:55:24,571 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-02-08 19:55:24,571 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-02-08 19:55:24,587 ] 29 root - INFO - data trasformation completed
